document_name,document_url
D8200-ARM,https://customer.aero.bombardier.com/webd/BAG/CustSite/BRAD/RACSDocument.nsf/51aae8b2b3bfdf6685256c300045ff31/ec63f8639ff3ab9d85257c1500635bd8/$FILE/ATTZCXH9.pdf/D8200-ARM.pdf
D8300-ARM,https://customer.aero.bombardier.com/webd/BAG/CustSite/BRAD/RACSDocument.nsf/51aae8b2b3bfdf6685256c300045ff31/ec63f8639ff3ab9d85257c1500635bd8/$FILE/ATT3MP36.pdf/D8300-APM.pdf
FAA-2021-0268-0002,https://downloads.regulations.gov/FAA-2021-0268-0002/attachment_6.pdf
01-0571-0011_Rev06_07-07,https://proservaviation.com/sites/default/files/product/literature/01-0571-0011_Rev06_07-07.pdf
